Field,What to Prepare,Your Content,Status
Product Name,"A clear, memorable name for your product.",,☐
Description,"A short paragraph explaining what your product does and who it's for.",,☐
Maker Name,"Your name or team name as it should appear on VibeRush.",,☐
Tagline,"A catchy one-liner that describes your product (max ~60 chars).",,☐
Website URL,"Link to your live product or landing page (https://...).",,☐
Category,"AI, SaaS, Developer Tools, Design, Productivity, etc.",,☐
Tools Used,"Lovable, Cursor, v0, Supabase, Bolt, Replit, etc.",,☐
Hero Banner,"A 1584×396px visual banner (PNG/JPG, under 1MB). See Hero Banner Guide.",,☐
Product Thumbnail,"A 256×256px icon/logo (PNG with transparency recommended, under 500KB).",,☐
Screenshots,"Up to 4 screenshots of your product UI (1280×720 recommended).",,☐
Magic Prompt,"The initial prompt that sparked your creation.",,☐
Build Time,"How long it took to build your product (e.g. '2 days', '1 week').",,☐
